2081, 2081
[-1.#IND; -1.#IND; -1.#IND]
[-1.#IND; -1.#IND; -1.#IND]
[-403.75958; -483.5661; 1]
[-414.21698; -534.87604; 0.99999994]
[-410.42056; -504.05545; 1]
[-286.55426; -581.93958; 1]
[-415.12881; -738.30017; 1]
[-458.67041; -878.04663; 1]
[-255.435; -1007.9421; 1]
[84.363823; -1078.2189; 1]
[359.88846; -2070.2991; 1]
[430.38058; -2459.8557; 0.99999994]
[367.27686; -2768.3726; 1]
[-226.22955; -12686.587; 1]
[924.96088; 8972.4404; 1]
[1040.354; 7098.9614; 1]
[-32.490795; 3319.2866; 1]
[-385.70609; 1801.9598; 1]
[-372.38068; 1115.8475; 1]
[-487.62646; 1086.5001; 1]
[-907.19421; 1148.8617; 1]
[-1286.4904; 1182.3329; 1]
[-1597.298; 1205.7526; 1]
[-1479.9125; 1061.462; 0.99999994]
[-1427.9851; 958.49884; 1]
[-1283.4454; 787.67725; 1]
[-1308.5092; 806.90088; 1]
[-1116.0698; 730.6886; 1]
[-978.63605; 676.78485; 1]
[-966.82623; 682.63269; 0.99999994]
[-802.73297; 651.29688; 1]
[-620.32874; 542.27576; 0.99999994]
[-568.57452; 531.66156; 1]
[-502.83868; 538.07727; 1]
[-400.34488; 526.10437; 1]
[-299.07648; 476.71777; 1]
[-288.41367; 491.48038; 1]
[-226.83528; 466.0632; 1]
[-273.60526; 452.23813; 1]
[-359.13251; 447.43347; 1]
[-394.61884; 431.55313; 1]
[-384.94073; 403.1673; 1]
[-263.64182; 390.29221; 1]
[-263.48022; 376.17438; 1]
[-196.23538; 367.6488; 1]
[-145.88603; 360.59705; 1]
[-137.75975; 379.68619; 1]
[-44.508408; 364.9451; 1]
[-31.175383; 375.2124; 1]
[-2.5380976; 378.46869; 1]
[-2.6282187; 371.08783; 1]
[-9.7395878; 356.70135; 1]
[45.442299; 335.30585; 1]
[57.694435; 350.60773; 1]
[49.107899; 357.43622; 1]
[53.302193; 333.67471; 1]
[34.94796; 331.62756; 1]
[25.958557; 297.46487; 1]
[45.75259; 300.78934; 0.99999994]
[98.590652; 280.89142; 1]
[109.73949; 283.92734; 1]
[108.46746; 277.005; 0.99999994]
[110.85081; 269.3869; 1]
[116.08267; 266.3634; 1]
[114.01038; 249.17325; 1]
[123.33717; 228.58861; 1]
[129.17146; 207.89494; 1]
[125.8683; 196.26781; 1]
[111.73417; 189.27524; 0.99999994]
[100.80906; 196.29794; 1]
[104.41341; 199.76286; 1]
[92.865059; 193.38432; 1]
[64.767204; 194.69881; 1]
[61.935799; 196.57623; 1]
[66.504631; 186.90071; 0.99999994]
[74.28466; 183.60893; 1]
[84.908333; 183.4855; 1]
[80.853523; 189.41502; 1]
[82.958374; 179.31024; 1]
[66.541611; 181.30128; 1]
[35.973316; 188.76732; 1]
[23.308529; 197.13322; 1]
[-10.000046; 207.32678; 0.99999994]
[-61.055801; 205.45525; 1]
[-108.74903; 212.71794; 1]
[-125.93446; 219.24153; 1]
[-125.87447; 219.50589; 1]
[-120.20356; 216.22794; 1]
[-117.87682; 216.25316; 1]
[-124.08901; 207.69136; 1]
[-141.54613; 208.61757; 1]
[-127.83965; 215.407; 1]
[-132.09872; 208.86348; 1]
[-132.45799; 209.90097; 1]
[-132.06062; 216.11485; 1]
[-133.81554; 218.34703; 1]
[-132.38715; 218.3434; 1]
[-147.56766; 215.03114; 1]
[-145.15851; 224.05424; 1]
[-131.92912; 213.47835; 1]
[-131.94975; 213.48764; 1]
[-101.62829; 217.0732; 1]
[-96.70874; 217.99377; 1]
[-120.48779; 226.11276; 1]
[-122.61333; 222.38115; 1]
[-122.41674; 221.93822; 1]
[-116.60658; 225.14233; 1]
[-172.00757; 200.00552; 1]
[-176.96751; 208.92581; 1]
[-160.93805; 200.22939; 1]
[-186.1967; 170.2218; 1]
[-186.41653; 134.5419; 1]
[-194.74602; 113.59868; 1]
[-211.61568; 100.71974; 1]
[-250.60571; 84.599541; 0.99999994]
[-253.6541; 64.526169; 1]
[-277.71124; 57.077038; 1]
[-270.71201; 62.274052; 1]
[-266.0759; 69.198425; 0.99999994]
[-246.53809; 72.319313; 1]
[-199.53462; 94.738335; 1]
[-193.08894; 97.983437; 1]
[-118.87741; 118.50532; 0.99999994]
[-99.898361; 133.00816; 1]
[-101.17912; 132.8524; 1]
[-114.34442; 127.91402; 1]
[-156.66898; 147.07295; 1]
[-147.45804; 157.97768; 1]
[-198.076; 130.09032; 0.99999994]
[-211.43713; 90.39695; 1]
[-237.71616; 53.934235; 1]
[-366.31427; 32.015678; 0.99999994]
[-393.76187; -46.623127; 0.99999994]
[-444.26117; -83.578712; 0.99999994]
[-511.58673; -163.80676; 1]
[-507.91891; -226.47502; 1]
[-493.56165; -209.24969; 0.99999994]
[-737.36346; -333.65298; 1]
[-746.48676; -315.69659; 1]
[-2348.123; -1572.3694; 0.99999994]
[-2380.7104; -1624.7156; 1]
[-2455.3723; -1662.5287; 1]
[-2760.0491; -1773.2509; 1]
[-2881.2107; -1793.3448; 1]
[-2823.2549; -1750.7327; 1]
[-3022.6316; -1878.208; 1]
[-3062.094; -1868.9812; 1]
[-3071.752; -1847.0898; 1]
[-3062.3923; -1829.1997; 0.99999994]
[-3057.7871; -1831.8113; 1]
[-3058.0862; -1832.0082; 1]
[-2893.4319; -1739.9764; 1]
[-2804.2068; -1667.4414; 1]
[-2815.8816; -1661.8337; 1]
[-2817.0718; -1662.5408; 1]
[-2817.3318; -1662.7102; 1]
[-2812.1584; -1670.3795; 1]
[-2819.4846; -1662.3115; 1]
[-2819.7471; -1662.4822; 0.99999994]
[-2845.8796; -1744.689; 0.99999994]
[-2846.3635; -1745.1547; 1]
[-2846.623; -1745.3347; 1]
[-2848.3081; -1746.3802; 1]
[-2848.5681; -1749.9617; 1]
[-2848.9597; -1750.073; 0.99999994]
[-2837.3037; -1769.9856; 1]
[-2834.9973; -1772.2001; 1]
[-2832.5256; -1775.0181; 1]
[-2839.6851; -1763.4093; 1]
[-2840.0271; -1763.6333; 0.99999994]
[-2840.5996; -1764.0227; 1]
[-2840.8679; -1764.2269; 1]
[-2727.3738; -1688.921; 1]
[-2727.6189; -1689.089; 1]
[-2621.5583; -1636.0725; 1]
[-2466.5493; -1539.3303; 1]
[-2467.1519; -1539.733; 1]
[-2467.998; -1540.266; 1]
[-2468.2056; -1540.4091; 1]
[-2468.4143; -1540.5474; 1]
[-2489.9814; -1517.6833; 1]
[-2491.2278; -1518.5277; 1]
[-2491.6956; -1518.8605; 1]
[-2492.6101; -1519.4744; 1]
[-2492.821; -1519.6162; 1]
[-2479.1128; -1531.2053; 1]
[-2479.8267; -1531.6821; 1]
[-2480.1904; -1531.6908; 1]
[-2480.4976; -1531.3584; 1]
[-2480.8022; -1531.7013; 1]
[-2481.488; -1530.8691; 1]
[-2481.6975; -1531.0116; 1]
[-2481.9087; -1531.1538; 0.99999994]
[-2482.0781; -1531.2695; 1]
[-2482.2878; -1531.4122; 1]
[-2482.5984; -1531.6311; 1]
[-2482.7903; -1531.7389; 1]
[-2483.0596; -1531.4303; 1]
[-2483.2693; -1531.5724; 1]
[-2483.5767; -1533.1881; 1]
[-2483.5134; -1533.064; 1]
[-2483.7122; -1533.3214; 1]
[-2484.0291; -1533.5326; 1]
[-2484.3469; -1533.7231; 1]
[-2484.3091; -1534.2773; 1]
[-2484.6968; -1534.516; 1]
[-2483.8789; -1535.1261; 1]
[-2484.0886; -1535.2682; 1]
[-2484.2927; -1535.4059; 0.99999994]
[-2484.6802; -1535.6715; 1]
[-2484.8906; -1535.8138; 0.99999994]
[-2485.1011; -1535.9563; 0.99999994]
[-2485.3105; -1536.0985; 1]
[-2485.5144; -1536.2365; 0.99999994]
[-2485.7412; -1536.3881; 0.99999994]
[-2485.9519; -1536.5306; 1]
[-2486.1624; -1536.6729; 1]
[-2486.3206; -1536.7839; 1]
[-2486.5461; -1536.9376; 1]
[-2486.7571; -1537.0802; 1]
[-2486.9438; -1537.2078; 1]
[-2487.1716; -1537.3604; 1]
[-2487.3833; -1537.5032; 1]
[-2487.6101; -1537.6542; 1]
[-2487.8213; -1537.7968; 1]
[-2488.0332; -1537.9398; 1]
[-2488.2451; -1538.0828; 1]
[-2488.4575; -1538.2262; 1]
[-2488.645; -1538.3545; 1]
[-2488.8567; -1538.4976; 1]
[-2488.7715; -1538.4683; 1]
[-2489.1951; -1538.7543; 0.99999994]
[-2489.4075; -1538.8978; 1]
[-2489.6196; -1539.041; 0.99999994]
[-2489.8318; -1539.1842; 1]
[-2490.0439; -1539.3274; 1]
[-2490.4778; -1538.8005; 0.99999994]
[-2490.6912; -1538.9445; 0.99999994]
[-2490.9043; -1539.088; 1]
[-2491.1238; -1539.2328; 1]
[-2491.3359; -1539.3759; 0.99999994]
[-2491.5476; -1539.5193; 1]
[-2491.76; -1539.6626; 1]
[-2687.2822; -1706.5145; 1]
[-2871.5806; -1860.3937; 0.99999994]
[-2938.3625; -1952.6484; 1]
[-2938.6482; -1952.8528; 0.99999994]
[-2929.1145; -1968.0343; 1]
[-2929.4004; -1968.2405; 0.99999994]
[-2929.6868; -1968.4467; 1]
[-2929.9724; -1968.6528; 1]
[-2930.2585; -1968.8593; 1]
[-2930.5447; -1969.0659; 1]
[-2930.8298; -1969.272; 1]
[-2931.1121; -1969.473; 1]
[-2931.3989; -1969.6801; 1]
[-2931.6855; -1969.8868; 0.99999994]
[-2931.9724; -1970.0938; 1]
[-2916.5115; -1891.6553; 1]
[-2918.9517; -1884.679; 1]
[-2919.2349; -1884.8761; 0.99999994]
[-2919.5176; -1885.0731; 1]
[-2919.8008; -1885.2699; 1]
[-2920.082; -1885.4661; 1]
[-2901.6335; -1877.0443; 1]
[-2902.0676; -1877.3705; 1]
[-2902.3474; -1877.5664; 1]
[-2902.7422; -1877.8451; 1]
[-2908.3833; -1871.8035; 1]
[-2908.7844; -1872.0721; 1]
[-2909.0659; -1872.2673; 0.99999994]
[-2909.3472; -1872.4629; 0.99999994]
[-2909.6567; -1872.6741; 1]
[-2909.9375; -1872.8695; 1]
[-2910.2195; -1873.0656; 1]
[-2910.5015; -1873.2617; 1]
[-2910.783; -1873.4575; 1]
